Mouse ID,Embedding
Day 5_Y8-1-L.png,"[-0.725069  , -1.5828276 ,  0.66928935, -3.621901  ,  1.9763548 ,
  0.92890763,  0.39707443,  0.3612918 , -0.9427064 , -1.9615384 ,
  1.1634407 ,  0.45482358,  0.04503633,  0.27226713,  1.1454409 ,
  0.4546314 ]"
Day 13_A8-4-L.png,"[-0.07602854,  2.9699256 , -1.7149295 ,  2.8433871 ,  2.0765574 ,
  0.20343718, -1.0907478 , -0.6952592 , -2.5867865 , -1.2110398 ,
  2.008535  ,  1.2534196 , -2.5731661 , -0.08432175, -2.768253  ,
 -0.06903936]"
Day 7_Y8-2-L.png,"[-1.9307157 ,  1.1680046 ,  0.9412993 , -0.63831455,  1.6280483 ,
  0.29713446,  0.07396533,  1.3100901 , -1.6005856 , -2.0666678 ,
  1.7415705 , -0.36459512, -0.08626764, -0.04269688, -0.02935896,
  1.180022  ]"
Day 0_A8-4-L.png,"[-0.26709697, -2.3594632 ,  1.8989506 , -2.1494935 , -1.9797168 ,
 -0.3140512 ,  1.1716611 ,  0.81133133,  2.7312443 ,  1.4998267 ,
 -1.980879  , -1.6856672 ,  2.6453066 , -0.25779533,  2.405641  ,
  0.10567716]"
Day 14_Y8-2-L.png,"[ 2.3194666 ,  2.4112587 , -4.174613  ,  4.899943  , -0.03890472,
 -0.14100395, -1.8418089 , -2.2104197 , -0.940569  ,  1.3504037 ,
  0.14506912,  1.911137  , -3.3575776 ,  0.17822775, -3.2833273 ,
 -2.0300238 ]"
Day 10_Y8-3-R.png,"[ 1.4942421 ,  3.4123065 , -3.6698878 ,  4.5859838 ,  1.5411915 ,
  0.08117042, -1.7888341 , -1.7732897 , -2.8287883 , -0.25965893,
  1.736258  ,  2.318282  , -3.7587428 ,  0.1576069 , -3.8220396 ,
 -0.9898801 ]"
Day 4_A8-5-R.png,"[-1.2830590e+00,  1.0376222e+00,  4.7159919e-01,  1.3737939e-04,
  1.2962664e+00,  2.3198965e-01, -4.7261901e-02,  6.0191494e-01,
 -1.0025659e+00, -1.2833734e+00,  1.2632502e+00, -1.5774380e-01,
 -2.9342926e-01, -7.6881565e-02, -3.0134621e-01,  4.9377400e-01]"
Day 7_A8-3-L.png,"[-0.649087  ,  2.850741  , -1.2701354 ,  2.1184998 ,  2.2802188 ,
  0.20973781, -0.8841671 , -0.0891357 , -2.7647467 , -1.759972  ,
  2.14053   ,  0.9997375 , -2.1464689 , -0.09349558, -2.4650505 ,
  0.5469174 ]"
Day 14_A8-3-L.png,"[-1.6734264 ,  0.06043176,  1.3393064 , -1.2870904 ,  0.7262391 ,
  0.14831589,  0.3487438 ,  1.0959847 , -0.49784705, -1.243837  ,
  0.764158  , -0.70009565,  0.69359666, -0.01036307,  0.79192305,
  0.73881286]"
Day 9_A8-5-R.png,"[-0.45921707,  3.2615724 , -1.528461  ,  2.747103  ,  2.3739758 ,
  0.17212985, -1.0150578 , -0.33605155, -3.0134614 , -1.5987409 ,
  2.2417302 ,  1.1506867 , -2.4161756 , -0.15595596, -2.8915823 ,
  0.38538447]"
Day 1_A8-3-R.png,"[-0.34788406,  0.40870684,  0.08789516,  0.05114642,  0.5054123 ,
  0.06160313, -0.08080304,  0.13979927, -0.41677865, -0.38382316,
  0.36464575,  0.01036935, -0.25964677, -0.04033122, -0.16552685,
  0.22371696]"
Day 8_Y8-1-L.png,"[-0.85314435,  2.8122227 , -0.9321605 ,  1.9320229 ,  2.2106588 ,
  0.21143432, -0.7836174 ,  0.03441411, -2.6648483 , -1.7402225 ,
  2.1315575 ,  0.77513844, -1.8954427 , -0.1297063 , -2.2559087 ,
  0.5263328 ]"
Day 3_Y8-1-R.png,"[-2.7462043e-02, -6.4706450e+00,  3.3879850e+00, -8.0993929e+00,
 -1.1277359e+00,  7.1321511e-01,  1.8907782e+00,  7.6598626e-01,
  3.0668764e+00, -6.2738629e-03, -2.4431920e+00, -1.4374717e+00,
  3.7384598e+00,  1.7149341e-01,  5.6714549e+00,  6.3731194e-01]"
Day 1_Y8-2-R.png,"[ 0.13268827, -2.5464303 ,  1.5097386 , -1.5404673 , -2.7739985 ,
 -0.5186178 ,  0.8475477 ,  0.24123962,  2.8129125 ,  1.6231403 ,
 -2.1948547 , -1.4189761 ,  2.4989038 ,  0.02341795,  2.5003498 ,
 -0.35662642]"
Day 15_A8-4-R.png,"[ 2.4978733 ,  2.946024  , -4.153773  ,  4.970968  ,  0.6318064 ,
 -0.12735055, -2.0773492 , -2.4608772 , -2.2228122 ,  0.7337715 ,
  1.1674556 ,  2.7164817 , -3.5490289 ,  0.44307303, -3.8944497 ,
 -1.6992918 ]"
Day 12_Y8-2-R.png,"[ 0.994555  ,  2.8537486 , -2.8551369 ,  3.8099377 ,  1.2743775 ,
  0.00878459, -1.4786797 , -1.3643608 , -2.1028168 , -0.37635246,
  1.4453236 ,  1.8970608 , -3.0788794 ,  0.2545277 , -3.1256762 ,
 -0.8754527 ]"
Day 6_A8-4-R.png,"[-1.7455841e+00, -1.3616550e+00,  2.4891021e+00, -2.5592229e+00,
 -4.1514573e-01,  2.1865140e-03,  9.9291110e-01,  1.6283172e+00,
  1.1236037e+00, -4.3798730e-01, -3.1822559e-01, -1.6043017e+00,
  2.2362778e+00, -1.0884981e-01,  2.2741587e+00,  8.6782527e-01]"
Day 2_A8-5-L.png,"[ 0.9554175 , -3.199344  ,  1.8125877 , -2.1256633 , -2.9357562 ,
 -0.45484948,  1.5226328 ,  0.03982266,  3.9515622 ,  2.838126  ,
 -3.3306997 , -1.6542037 ,  2.7143314 , -0.29434228,  2.6577032 ,
 -0.44886264]"
Day 11_A8-5-L.png,"[-0.49146235,  3.0010982 , -1.4004551 ,  2.620954  ,  2.1049914 ,
  0.16589774, -0.9919864 , -0.26235417, -2.766469  , -1.4153359 ,
  2.0752532 ,  1.0491682 , -2.2196743 , -0.09931713, -2.694125  ,
  0.2265786 ]"
Day 5_Y8-3-L.png,"[-1.6812288 ,  0.15578607,  0.76092535, -1.8547151 ,  2.1377025 ,
  0.7021773 ,  0.17993471,  0.8035871 , -1.3561386 , -2.3127034 ,
  1.6640486 ,  0.04374743, -0.31897447, -0.02430551,  0.4279526 ,
  0.8691628 ]"
Day 5_A8-5-L.png,"[-2.4367344 , -0.96572936,  1.9670205 , -4.221907  ,  2.69106   ,
  1.0102346 ,  0.77043724,  1.4542292 , -1.2368609 , -3.2074673 ,
  1.8175323 , -0.28336918,  0.51541203,  0.00862295,  1.7671549 ,
  1.5926799 ]"
