Mouse ID,Embedding
Day 2_Y8-2-L.png,"[ 1.5431981 , -3.668577  ,  2.0116224 , -2.7138634 , -2.5451488 ,
 -0.30753902,  1.7733324 , -0.1825104 ,  4.268429  ,  3.2990854 ,
 -3.7415028 , -1.6322945 ,  2.8977945 , -0.4409685 ,  2.6605916 ,
 -0.5359616 ]"
Day 11_A8-3-L.png,"[-1.6344522 ,  2.0230417 ,  0.29248238,  0.66194445,  1.7204604 ,
  0.12041166, -0.19235975,  0.9455557 , -1.9953581 , -1.5795889 ,
  1.7082291 , -0.10816331, -0.5443546 , -0.17781384, -1.1301873 ,
  1.0402987 ]"
Day 2_A8-3-L.png,"[ 0.27953455, -2.8724937 ,  1.732662  , -3.2347634 , -0.8439361 ,
  0.2169941 ,  1.2535669 ,  0.16967784,  2.3110502 ,  0.9089209 ,
 -1.79562   , -1.0157688 ,  1.789217  , -0.22499457,  2.3537948 ,
  0.04918599]"
Day 5_Y8-1-L.png,"[-1.2424875 , -1.5617462 ,  1.0214803 , -4.1964407 ,  2.2023168 ,
  1.0218619 ,  0.48796073,  0.6705697 , -1.1460137 , -2.5301604 ,
  1.3513867 ,  0.20770584,  0.13448054,  0.20707327,  1.4933938 ,
  0.8523828 ]"
Day 13_A8-4-L.png,"[-0.08587922,  2.8713067 , -1.7228147 ,  2.7155619 ,  2.0131354 ,
  0.21293584, -1.072306  , -0.62728393, -2.5590281 , -1.2431166 ,
  1.9951695 ,  1.2772684 , -2.4849303 , -0.06131241, -2.687282  ,
 -0.08497671]"
Day 7_Y8-2-L.png,"[-1.3354139 ,  1.8469423 , -0.08270714,  0.5942648 ,  1.8680087 ,
  0.28306672, -0.36651766,  0.66686493, -2.0567412 , -1.8864113 ,
  1.9161224 ,  0.24726745, -0.9666078 , -0.01380133, -1.048193  ,
  0.7478892 ]"
Day 0_A8-4-L.png,"[-0.50111973, -2.628282  ,  2.305498  , -2.3504686 , -2.1006324 ,
 -0.35661247,  1.2247539 ,  1.1658603 ,  2.7513106 ,  1.4746512 ,
 -2.0407107 , -1.9218568 ,  3.0289593 , -0.204743  ,  2.8115327 ,
  0.12651524]"
Day 14_Y8-2-L.png,"[ 2.9197724 ,  2.1265304 , -4.6251135 ,  5.2188444 , -0.5471438 ,
 -0.17809664, -1.9789532 , -2.5032976 , -0.689418  ,  1.947342  ,
 -0.3505051 ,  2.1072607 , -3.4337418 ,  0.12986402, -3.4943862 ,
 -2.3364694 ]"
Day 10_Y8-3-R.png,"[ 0.63156265,  3.427837  , -2.9297643 ,  3.8629024 ,  1.8643316 ,
  0.14266962, -1.5353012 , -1.1589019 , -2.9923747 , -0.9471172 ,
  2.0730302 ,  1.9075246 , -3.3217344 ,  0.11142872, -3.4886074 ,
 -0.45783317]"
Day 4_A8-5-R.png,"[-1.3871088 ,  0.6213806 ,  0.76153016, -0.52912784,  0.9936911 ,
  0.20781589,  0.17975   ,  0.776676  , -0.60722494, -1.1617969 ,
  0.98017806, -0.40116516,  0.15326403, -0.09711704,  0.14955309,
  0.5823493 ]"
Day 3_Y8-3-R.png,"[-0.6923777 , -0.4866743 ,  0.36000732, -1.896454  ,  1.6221844 ,
  0.661535  ,  0.21672443,  0.37690225, -0.69776094, -1.4083862 ,
  0.83432543,  0.26079026, -0.24693424,  0.03742026,  0.48651612,
  0.41730997]"
Day 8_Y8-3-L.png,"[-1.0037085 ,  2.6526113 , -0.67526966,  1.5943931 ,  2.235465  ,
  0.17607723, -0.62858284,  0.22717385, -2.7671976 , -1.813941  ,
  2.1100907 ,  0.7230222 , -1.6302077 , -0.1309692 , -2.0619318 ,
  0.89058113]"
Day 7_A8-3-L.png,"[-0.7071896 ,  2.7276783 , -1.074009  ,  1.9467514 ,  2.2381806 ,
  0.2066789 , -0.7963474 , -0.0114235 , -2.7012694 , -1.739732  ,
  2.0830686 ,  0.8896713 , -1.9913774 , -0.12643611, -2.327355  ,
  0.6202911 ]"
Day 14_A8-3-L.png,"[-1.022102  ,  1.3020215 , -0.10373368,  0.2954663 ,  1.5940971 ,
  0.3102464 , -0.28716713,  0.30663234, -1.3984107 , -1.4284174 ,
  1.4161375 ,  0.2189525 , -0.8604537 , -0.07020158, -0.7387462 ,
  0.38388598]"
Day 9_A8-5-R.png,"[ 0.01508104,  2.8383236 , -1.871119  ,  2.7680047 ,  1.9543921 ,
  0.19759002, -1.1047546 , -0.6045523 , -2.4776056 , -1.1523497 ,
  1.8716897 ,  1.3020617 , -2.530832  , -0.02053152, -2.6522393 ,
 -0.12283245]"
Day 1_A8-3-R.png,"[-1.9783237 , -0.23258641,  1.9553957 , -1.9287875 ,  0.63179725,
  0.13276014,  0.5919602 ,  1.5999767 , -0.26256275, -1.381909  ,
  0.75035596, -1.0324185 ,  1.3221287 , -0.02205049,  1.3099427 ,
  1.1175158 ]"
Day 12_A8-3-R.png,"[-1.1411303 ,  2.5997393 , -0.5973885 ,  1.6201855 ,  2.1926634 ,
  0.23249805, -0.5985756 ,  0.30915457, -2.470103  , -1.8008279 ,
  2.1180875 ,  0.51399577, -1.6732966 , -0.12644966, -1.8762945 ,
  0.7315446 ]"
Day 8_Y8-1-L.png,"[-0.9512564 ,  2.8524117 , -0.8423292 ,  1.8921686 ,  2.2499113 ,
  0.21936147, -0.77354205,  0.14498113, -2.7349067 , -1.7926258 ,
  2.182022  ,  0.6932424 , -1.8489783 , -0.14816737, -2.221603  ,
  0.64381725]"
Day 3_Y8-1-R.png,"[ 0.1475611 , -6.0945444 ,  3.1244736 , -7.3534613 , -1.3387301 ,
  0.627014  ,  1.8360103 ,  0.60389465,  3.2031534 ,  0.34194526,
 -2.5438054 , -1.3999038 ,  3.5527256 ,  0.13101801,  5.2083626 ,
  0.4899462 ]"
Day 10_Y8-1-R.png,"[ 0.10531831,  2.8194907 , -1.92701   ,  2.8281221 ,  2.0077317 ,
  0.21458335, -1.0688714 , -0.6794425 , -2.4483392 , -1.1070176 ,
  1.7669286 ,  1.3589611 , -2.5612688 , -0.06522995, -2.7310333 ,
 -0.18918791]"
Day 1_Y8-2-R.png,"[ 0.8837471 , -3.5871792 ,  1.6139035 , -1.714405  , -4.0829883 ,
 -0.7856335 ,  1.1126494 , -0.07282054,  4.169527  ,  2.87538   ,
 -3.4684563 , -1.8027602 ,  3.2636192 , -0.01132401,  3.2167928 ,
 -0.75576776]"
Day 15_A8-4-R.png,"[ 2.3304303 ,  2.9882376 , -4.078599  ,  4.831934  ,  0.8238942 ,
 -0.07381305, -2.0641923 , -2.3397868 , -2.2712755 ,  0.5184197 ,
  1.2389854 ,  2.6372192 , -3.5670464 ,  0.39755166, -3.8256025 ,
 -1.5982528 ]"
Day 12_Y8-2-R.png,"[ 0.73003125,  3.1601737 , -2.6675904 ,  3.9914095 ,  1.6721219 ,
  0.07171616, -1.4364628 , -1.1830028 , -2.3371341 , -0.62222016,
  1.5989286 ,  1.7527039 , -3.0932066 ,  0.16662802, -3.0801857 ,
 -0.6756321 ]"
Day 6_A8-4-R.png,"[-1.2782104 , -1.4421755 ,  2.3923547 , -2.2647307 , -0.96127737,
 -0.18408707,  0.99587095,  1.3130449 ,  1.6062838 ,  0.2558509 ,
 -0.73174566, -1.6609974 ,  2.2792003 , -0.19206071,  2.1526473 ,
  0.69698715]"
Day 2_A8-5-L.png,"[ 1.1519442 , -3.3234663 ,  1.9530216 , -1.9297593 , -3.3600686 ,
 -0.61175984,  1.5820061 ,  0.01295218,  4.442968  ,  3.3097236 ,
 -3.7183225 , -1.8472363 ,  2.9270551 , -0.3045676 ,  2.7534022 ,
 -0.5930486 ]"
Day 11_A8-5-L.png,"[-0.7623686 ,  2.9156265 , -1.0987887 ,  2.2096143 ,  2.1121984 ,
  0.15337446, -0.8304159 , -0.02749258, -2.6829164 , -1.5485723 ,
  2.056295  ,  0.86845946, -1.9097401 , -0.10821408, -2.4156182 ,
  0.46777365]"
