Mouse ID,Embedding
Day 13_A8-4-L.png,"[-0.34707248  2.5870903  -1.3669605   2.1879103   1.9852152   0.24055597
 -0.89767694 -0.37208974 -2.3708494  -1.3397207   1.8744545   1.042122
 -2.1492362  -0.05619751 -2.2941158   0.08938508]"
Day 7_Y8-2-L.png,"[-1.423114    1.7620853   0.09538201  0.42196327  1.8062844   0.26962772
 -0.30147523  0.8069151  -2.019578   -1.9273356   1.921281    0.15125574
 -0.82262105 -0.00888917 -0.87383884  0.8442529 ]"
Day 0_A8-4-L.png,"[-1.6680517  -2.0157156   2.4707348  -2.8827662  -0.97017425 -0.04432474
  0.93918324  1.6050396   1.4475652  -0.04648115 -0.7742175  -1.6490523
  2.5739486   0.05004323  2.8179967   0.6307917 ]"
Day 14_Y8-2-L.png,"[ 2.5580525   1.5592057  -3.7988374   4.3676496  -0.7111626  -0.19020191
 -1.5648522  -2.162175   -0.21647349  1.9029355  -0.57706094  1.6157122
 -2.732508    0.13171428 -2.6970968  -2.0599346 ]"
Day 10_Y8-3-R.png,"[ 1.4949205   3.6408696  -3.786589    4.769415    1.6430843   0.06942479
 -1.8504778  -1.8162638  -3.039191   -0.3537251   1.8591958   2.4006667
 -3.8790858   0.14674526 -4.0210233  -0.9196087 ]"
Day 4_A8-5-R.png,"[-1.241464    1.2223924   0.2980394   0.18908355  1.3313253   0.20160203
 -0.16066852  0.5302485  -1.1595106  -1.3258793   1.3451099  -0.04109019
 -0.45774776 -0.06410947 -0.48480302  0.5008549 ]"
Day 3_Y8-3-R.png,"[-0.25457305 -0.7756335   0.4100378  -1.5796957   0.6106259   0.38393566
  0.3299451   0.11441363  0.06206831 -0.48102838  0.03027264 -0.04670314
  0.242843   -0.05428697  0.6738623   0.18212675]"
Day 8_Y8-3-L.png,"[-0.5960295   2.7995148  -1.1485757   2.0775099   2.1305974   0.15792227
 -0.8487768  -0.08876126 -2.7594993  -1.608432    2.0668318   0.9865968
 -1.9764239  -0.0715723  -2.3412173   0.5755241 ]"
Day 7_A8-3-L.png,"[-0.69895655  2.8733313  -1.1913949   2.051787    2.2075613   0.17528673
 -0.85991424  0.02011303 -2.8772342  -1.7522497   2.2047617   0.9850514
 -2.0609982  -0.0711652  -2.4073265   0.65266764]"
Day 14_A8-3-L.png,"[-1.1568459   1.2719393   0.10879868  0.1257292   1.5826329   0.30733714
 -0.20394537  0.38983583 -1.3682195  -1.4588333   1.3929306   0.1120123
 -0.809394   -0.0698194  -0.62440753  0.51286316]"
Day 9_A8-5-R.png,"[ 0.05933685  3.1665373  -2.03144     2.987926    2.0762565   0.11556806
 -1.1912276  -0.63856006 -2.9084485  -1.2961493   2.049465    1.5555546
 -2.6727757  -0.03763039 -2.9271429   0.12311269]"
Day 1_A8-3-R.png,"[-1.3873259   0.14071614  1.2066863  -1.1411988   0.6669192   0.08431058
  0.3098044   0.9583927  -0.4008428  -1.069398    0.70601946 -0.58961225
  0.67763007 -0.06231133  0.59357995  0.8948607 ]"
Day 12_A8-3-R.png,"[-1.1463962   2.5277302  -0.55554426  1.5336949   2.1321537   0.21612109
 -0.5727391   0.3640897  -2.3957138  -1.7897122   2.0697246   0.4677264
 -1.6008786  -0.13097039 -1.8132709   0.7749825 ]"
Day 8_Y8-1-L.png,"[-0.86573315  2.5967476  -0.8368448   1.7324449   2.1468387   0.23312691
 -0.6930993   0.09565804 -2.5047905  -1.6619556   2.033985    0.7210806
 -1.7739174  -0.1355525  -2.0751102   0.5420674 ]"
Day 3_Y8-1-R.png,"[ 0.31290615 -5.443224    2.6565592  -6.38523    -1.1964017   0.5503781
  1.5529338   0.40753284  2.881817    0.45137408 -2.4319992  -1.1706259
  3.0167325   0.03934802  4.558633    0.24262704]"
Day 10_Y8-1-R.png,"[ 0.11921843  2.8456228  -1.9477642   2.8253174   1.9694775   0.19651707
 -1.0600309  -0.7021699  -2.4848301  -1.1130354   1.7980714   1.375212
 -2.532327   -0.07351157 -2.7507832  -0.1385621 ]"
Day 1_Y8-2-R.png,"[ 2.2873766  -6.217603    2.3099246  -2.6042745  -7.0793104  -1.3869632
  1.9595579  -0.4584448   7.2805104   5.421417   -6.3308353  -2.838288
  5.3326564  -0.04453959  5.205589   -1.3681817 ]"
Day 15_A8-4-R.png,"[ 2.3951192   2.8783734  -4.088175    4.7925525   0.843006   -0.06982495
 -2.0733504  -2.3773134  -2.1851842   0.58060676  1.1703345   2.6149998
 -3.5021749   0.420794   -3.7320619  -1.5681663 ]"
Day 12_Y8-2-R.png,"[ 1.2958547   2.614731   -2.988616    3.82985     0.862905   -0.07968952
 -1.4870523  -1.59404    -1.7029562   0.07309144  1.0599257   1.8652468
 -2.939602    0.2984955  -2.8897657  -1.1837591 ]"
Day 6_A8-4-R.png,"[-2.0778685  -3.594929    4.24797    -4.848979   -1.783391   -0.14016283
  1.8966256   2.327547    2.7582803   0.1453648  -1.5545102  -2.7360275
  4.5278893  -0.06656909  4.6173344   0.99075985]"
Day 2_A8-5-L.png,"[ 2.021754   -4.4152684   2.229213   -2.1777256  -4.682528   -0.8619989
  1.9334521  -0.29901728  5.824238    4.62014    -5.0529594  -2.210892
  3.7221243  -0.34755734  3.368611   -1.0210305 ]"
Day 11_A8-5-L.png,"[-1.2718432   2.2793694  -0.3197488   1.1388904   1.987366    0.24105288
 -0.5146376   0.5033849  -2.3060284  -1.7520375   1.9318382   0.41427606
 -1.2508962  -0.09649144 -1.57087     0.63046545]"
Day 5_Y8-3-L.png,"[-2.3498147  -1.0366348   1.6970377  -4.1411295   2.5079641   0.9924312
  0.6226109   1.2996069  -1.2323719  -3.1515281   1.7694409  -0.15619193
  0.31662384  0.09298109  1.7747436   1.4192033 ]"
Day 5_A8-5-L.png,"[-2.2557263  -1.1199163   1.9235433  -4.253176    2.6031098   1.0370713
  0.765362    1.3352977  -1.2455499  -3.1643887   1.7777522  -0.24307686
  0.47190294  0.07890944  1.7684226   1.5118653 ]"
Day 11_Y8-3-L.png,"[ 1.8431581   3.0464978  -3.6327858   4.528337    1.325327   -0.00703128
 -1.9057297  -2.077266   -2.5417092   0.01179731  1.4511762   2.5349092
 -3.5443645   0.29034173 -3.7625523  -1.1707004 ]"
Day 2_Y8-3-L.png,"[-0.17520922 -3.2729332   2.1166716  -4.0091076  -1.2094477   0.14410286
  1.3496639   0.44365075  2.6050918   0.6651334  -1.7514809  -1.3040468
  2.380917   -0.10496052  3.142459    0.21510567]"
Day 4_Y8-1-R.png,"[-1.8427861  -0.5784775   1.698508   -2.1308255   0.6023922   0.241864
  0.42380932  1.2450675  -0.28459072 -1.4779764   0.7307785  -0.8044259
  1.1341039   0.10822387  1.6030173   0.7545072 ]"
Day 6_Y8-2-R.png,"[-1.383242    2.113866   -0.01319082  0.76249945  2.0113993   0.20763123
 -0.38405758  0.5374233  -2.2853823  -1.8532125   1.9146259   0.25138515
 -1.0603161  -0.14807783 -1.3781223   0.98748577]"
Day 12_A8-4-R.png,"[-0.15184423  3.1659074  -2.0768483   2.9565933   2.0518153   0.20831728
 -1.2156061  -0.570717   -2.9257805  -1.3602521   2.2002254   1.4144928
 -2.6983845   0.01713322 -3.0022018  -0.08074235]"
Day 15_Y8-2-R.png,"[ 1.6144816   2.7508202  -3.3449593   3.8889658   1.4294915   0.25511494
 -1.7462884  -1.9777521  -2.111706   -0.01641112  1.3861542   2.270025
 -3.558317    0.1693413  -3.2572262  -1.7835383 ]"
Day 1_A8-4-R.png,"[ 1.716694   -0.92902654 -0.8817323   1.1735606  -2.2156203  -0.5660487
 -0.03289943 -0.972345    2.1503608   2.7185493  -2.0345178  -0.18462177
  0.3642635  -0.10495235  0.3623493  -1.2924165 ]"
