Mouse ID,Embedding
Day 2_A8-3-L.png,"[ 21.57273   ,   4.0576105 ,  -2.2355309 , -14.59749   ,  -9.164345  ,
   2.155398  ,   3.2955492 ,   8.623971  ,  -2.8062637 ,   1.8214326 ,
   4.3340683 ,  -1.3938096 ,   4.2941256 ,  -4.9661117 ,  -4.0896974 ,
  -0.43687323]"
Day 5_Y8-1-L.png,"[ 5.5333624, -2.6687474, -2.342401 , -5.2455   , -2.979433 ,  3.336153 ,
 -2.571754 ,  5.825424 ,  0.2281777, -4.4344215, -1.5655841,  1.5084268,
  4.5338974, -0.5126876, -3.4854207,  3.1522295]"
Day 13_A8-4-L.png,"[-12.795927  ,   0.40539974,   0.06604397,   4.7744436 ,   3.8284793 ,
  -2.458485  ,   0.3141431 ,  -3.221664  ,  -0.8242006 ,   1.2418922 ,
   0.5580835 ,   0.5448355 ,  -2.2141035 ,   0.2576901 ,   2.7483058 ,
  -0.77666795]"
Day 7_Y8-2-L.png,"[-2.3145237 , -1.5182767 ,  0.03663834,  1.5753752 ,  1.2631428 ,
  0.4388838 , -1.617641  , -0.47256657,  0.9845487 , -1.8513775 ,
 -1.5546875 ,  0.9439617 ,  0.7649196 ,  0.9619883 , -0.18860333,
  1.2977331 ]"
Day 0_A8-4-L.png,"[ 23.58886   ,   6.365809  ,   0.34161544, -12.365477  ,  -8.26006   ,
   0.2985423 ,   5.5436883 ,   4.5017896 ,  -2.1350808 ,   5.166478  ,
   5.330513  ,  -3.3469238 ,   1.4296455 ,  -4.0900354 ,  -1.8548535 ,
  -3.119466  ]"
Day 14_Y8-2-L.png,"[-20.584257  ,   1.6793169 ,  -1.2176393 ,   3.9757411 ,   3.9109938 ,
  -3.537266  ,   1.1010969 ,  -2.6225467 ,  -2.3747346 ,   2.497327  ,
   2.282696  ,   1.2799962 ,  -2.2379777 ,  -0.98963404,   3.4064558 ,
  -1.4640828 ]"
Day 10_Y8-3-R.png,"[-14.3204155 ,   1.1185976 ,  -0.17539655,   4.694856  ,   4.26237   ,
  -3.3292084 ,   1.0913174 ,  -3.494881  ,  -1.5435526 ,   2.233226  ,
   1.6024855 ,   0.58411926,  -2.5922005 ,  -0.6621446 ,   3.3751163 ,
  -1.1915344 ]"
Day 4_A8-5-R.png,"[ 6.141152  , -2.4270368 ,  1.4123743 ,  1.7374738 ,  0.3968044 ,
  1.7190989 , -2.0754538 , -0.8574003 ,  2.6709893 , -2.5972354 ,
 -3.279755  , -0.43215787,  0.605022  ,  2.2548437 , -0.84539676,
  1.360809  ]"
Day 7_A8-3-L.png,"[-3.3850095 , -2.4849446 ,  0.44263577,  3.4502666 ,  1.8274368 ,
  0.78176063, -2.2303894 , -1.2341689 ,  1.517107  , -2.4411776 ,
 -2.5908263 ,  0.560819  ,  0.0516012 ,  2.0478747 , -0.1432296 ,
  1.472154  ]"
Day 14_A8-3-L.png,"[-6.997194  , -5.078806  ,  2.0655737 ,  6.208347  ,  2.7714381 ,
  1.817876  , -4.483313  , -2.93394   ,  3.237429  , -4.5250278 ,
 -5.296787  ,  0.60670686, -0.5166774 ,  4.5519032 , -1.0534573 ,
  2.229097  ]"
Day 9_A8-5-R.png,"[-7.950076  , -0.57793933,  0.23895206,  3.9291232 ,  2.9030054 ,
 -1.1198921 , -0.49206883, -2.3337886 ,  0.04131809, -0.01530104,
 -0.57728887,  0.42206037, -1.2452255 ,  0.85121834,  1.6355814 ,
 -0.102476  ]"
Day 1_A8-3-R.png,"[ 23.133095  ,   6.385113  ,  -0.68041515, -12.764656  ,  -7.932931  ,
  -0.19216391,   5.469863  ,   5.383944  ,  -2.8938448 ,   4.8887196 ,
   6.1424284 ,  -2.0232038 ,   2.1074734 ,  -5.3481045 ,  -2.2416158 ,
  -2.2217672 ]"
Day 8_Y8-1-L.png,"[-6.0249753 , -2.9858377 ,  1.4186375 ,  4.5294514 ,  2.476919  ,
  0.32092312, -2.5971596 , -2.9600022 ,  1.7866158 , -2.5368335 ,
 -2.782189  ,  0.49104205, -0.7633558 ,  2.461633  ,  0.00608414,
  1.0615971 ]"
Day 3_Y8-1-R.png,"[ 5.5528674 , -2.9636223 , -2.2748597 , -4.963321  , -2.7991793 ,
  3.4892595 , -2.9179964 ,  5.7791715 ,  0.41402972, -4.894428  ,
 -1.8803098 ,  1.5721751 ,  4.6709538 , -0.16030046, -3.4316576 ,
  3.377995  ]"
Day 1_Y8-2-R.png,"[ 15.922248  ,   6.260215  ,  -0.42180106, -12.498438  ,  -7.9362803 ,
   0.22713035,   5.3937526 ,   4.9425316 ,  -2.9853206 ,   5.08985   ,
   6.0459733 ,  -2.5744836 ,   1.2367841 ,  -4.6522884 ,  -2.0359704 ,
  -3.0939384 ]"
Day 15_A8-4-R.png,"[-24.761948  ,   1.649579  ,   0.65962327,   7.988701  ,   6.610294  ,
  -5.2717605 ,   2.056911  ,  -6.1748915 ,  -2.4291525 ,   4.380943  ,
   2.520016  ,   0.15058316,  -5.1926785 ,  -0.70069957,   5.4090667 ,
  -2.6428418 ]"
Day 12_Y8-2-R.png,"[-19.34506   ,   0.81834614,  -0.24392119,   4.754785  ,   3.775058  ,
  -2.7375655 ,   0.7089634 ,  -2.9917712 ,  -1.5890117 ,   2.0903668 ,
   1.267016  ,   0.62909484,  -2.8038101 ,  -0.02572212,   2.9234488 ,
  -1.4965694 ]"
Day 6_A8-4-R.png,"[ 14.7054615,  -0.5233772,  -3.4831524, -10.217841 ,  -5.5240436,
   3.1213737,  -0.871958 ,   8.249916 ,  -1.0242354,  -2.9714901,
   0.7337499,   1.2915525,   5.6687536,  -3.5060306,  -4.5515957,
   2.993311 ]"
Day 2_A8-5-L.png,"[ 18.289604 ,   3.6253502,  -0.796594 , -10.711153 ,  -7.470137 ,
   1.7533511,   3.1169515,   5.6370068,  -1.6697905,   2.3771558,
   3.1933324,  -2.0430653,   2.2000508,  -3.5043356,  -3.3125675,
  -1.0813787]"
Day 11_A8-5-L.png,"[-5.909256  , -1.138597  ,  0.8611401 ,  4.7623005 ,  3.1576393 ,
 -0.90798664, -1.0888891 , -3.1018322 ,  0.94918114, -0.56884456,
 -1.7403597 ,  0.0507957 , -1.316892  ,  1.7331654 ,  1.7197442 ,
  0.10979769]"
Day 5_Y8-3-L.png,"[ 0.71822715, -1.6872663 ,  0.12781194,  0.43843067,  0.2570577 ,
  0.69151694, -1.5916057 , -0.09786197,  1.1950467 , -1.9688947 ,
 -1.4561914 ,  0.6953678 ,  0.9188982 ,  0.8161196 , -0.6795084 ,
  1.29338   ]"
Day 5_A8-5-L.png,"[ 6.245357  , -3.7383184 ,  0.66167325,  0.68482614, -0.654339  ,
  3.1953514 , -3.1586246 ,  1.0043974 ,  2.8729877 , -4.1400795 ,
 -4.070917  ,  0.06086592,  1.7202294 ,  2.3952541 , -2.5931253 ,
  2.562166  ]"
Day 11_Y8-3-L.png,"[-19.134666  ,   1.3292444 ,   0.11012664,   6.1525717 ,   5.246763  ,
  -4.144466  ,   1.374466  ,  -4.6360936 ,  -1.8843558 ,   2.9822686 ,
   1.8704536 ,   0.52188057,  -3.635651  ,  -0.53448385,   4.2958403 ,
  -1.802828  ]"
Day 4_Y8-1-R.png,"[-0.01307048, -1.3306503 , -1.4180431 , -1.7853234 , -0.6696594 ,
  1.2224402 , -1.4350163 ,  2.236203  ,  0.19004524, -2.2514772 ,
 -0.7700108 ,  1.2348849 ,  2.2788143 , -0.32807016, -1.2548634 ,
  1.7885269 ]"
Day 6_Y8-2-R.png,"[-4.7697334 , -2.8872325 ,  1.3870246 ,  5.674718  ,  2.985514  ,
  0.5573371 , -2.576869  , -2.8245652 ,  2.3845563 , -2.5054297 ,
 -3.7639384 ,  0.15300755, -0.8132221 ,  3.3405719 ,  0.60557914,
  1.1190754 ]"
Day 12_A8-4-R.png,"[-12.849966  ,   1.2733436 ,  -0.12468143,   3.9753027 ,   3.6555247 ,
  -3.003769  ,   1.2252309 ,  -3.1281786 ,  -1.5273536 ,   2.2516923 ,
   1.6320467 ,   0.40412793,  -2.4137664 ,  -0.6722439 ,   3.1084268 ,
  -1.3379054 ]"
Day 15_Y8-2-R.png,"[-18.905966  ,   1.1083515 ,   0.22140001,   6.506093  ,   5.552852  ,
  -4.198897  ,   1.1798584 ,  -4.9236627 ,  -1.7309997 ,   2.7503698 ,
   1.629391  ,   0.5368758 ,  -3.599611  ,  -0.35919577,   4.3911343 ,
  -1.716859  ]"
Day 1_A8-4-R.png,"[ 29.165537  ,   7.6886063 ,   0.26146173, -16.458376  , -11.053589  ,
   0.7535712 ,   6.676768  ,   6.44491   ,  -2.9410055 ,   6.1336164 ,
   6.76985   ,  -3.8173707 ,   2.0248032 ,  -5.3826714 ,  -3.3888845 ,
  -3.4510288 ]"
Day 6_A8-3-R.png,"[ 6.9223695 , -3.111168  , -1.879683  , -3.675179  , -1.7486426 ,
  2.909863  , -3.0813222 ,  4.467368  ,  0.9636139 , -4.8156295 ,
 -2.3827302 ,  1.6207016 ,  4.315603  , -0.10352442, -2.9598253 ,
  3.5235543 ]"
Day 15_A8-3-R.png,"[-1.7454569e+01, -1.1704898e+00,  1.3075052e+00,  7.3836155e+00,
  4.6624565e+00, -1.9420853e+00, -5.6300211e-01, -4.4622612e+00,
 -7.2650351e-03,  5.8721286e-01, -8.7424427e-01,  8.7469429e-02,
 -3.4287400e+00,  1.9158114e+00,  2.5168934e+00, -7.7535093e-01]"
Day 9_Y8-3-R.png,"[-11.039878  ,   0.28776503,   0.06211526,   4.5029244 ,   3.6724546 ,
  -2.3389697 ,   0.15049306,  -3.094776  ,  -0.55666596,   0.9976542 ,
   0.27344576,   0.483947  ,  -1.8804878 ,   0.35742432,   2.68265   ,
  -0.6529504 ]"
Day 13_A8-3-L.png,"[-5.3541274 , -2.1682172 ,  1.5444245 ,  5.2412605 ,  2.69879   ,
  0.22743185, -1.7677002 , -2.8613265 ,  1.6842221 , -1.506255  ,
 -2.752228  , -0.14409612, -1.3703618 ,  2.832564  ,  0.6572232 ,
  0.5389742 ]"
Day 9_Y8-1-R.png,"[-12.5440445 ,  -0.907533  ,   0.7554102 ,   6.6057496 ,   4.592777  ,
  -1.9120277 ,  -0.85166574,  -4.0758457 ,   0.2247869 ,  -0.01926902,
  -1.027376  ,   0.4645982 ,  -2.3167777 ,   1.5466987 ,   2.5261233 ,
  -0.18695669]"
